,MTIR,MP2,ECH,M1,M2,M3D,M5,M6,M7,COEM,departement_id,edgt_household_id,household_id,house_type,house_occupation_type,has_internet,household_size,number_of_vehicles,number_of_bikes,household_weight,consumption_units
0,001,001,0001,4,3,1,0,0,0,71.819,44,1001,0,big_col,renter,True,1,0,0,71.819,1.0
1,001,001,0002,3,3,1,1,0,1,55.207,44,2001,1,little_col,renter,True,2,1,1,55.207,1.5
2,001,002,0003,3,3,1,0,0,0,71.819,44,3001,2,little_col,renter,True,1,0,0,71.819,1.0
3,001,002,0004,4,3,1,0,0,0,55.207,44,4001,3,big_col,renter,True,2,0,0,55.207,1.5
4,001,001,0010,3,3,1,0,0,0,55.207,44,10001,4,little_col,renter,True,2,0,0,55.207,1.3
5,001,002,0012,4,3,1,0,0,0,71.819,44,12001,5,big_col,renter,True,1,0,0,71.819,1.0
6,001,001,0013,4,1,1,1,0,0,55.207,44,13001,6,big_col,owner,True,2,1,0,55.207,1.5
7,001,002,0014,4,3,1,0,0,0,71.819,44,14001,7,big_col,renter,True,1,0,0,71.819,1.0
8,001,002,0015,2,1,1,1,0,2,71.819,44,15001,8,embracing,owner,True,1,1,2,71.819,1.0
9,001,002,0016,4,3,1,2,0,1,64.5923,44,16001,9,big_col,renter,True,4,2,1,64.5923,2.3
10,001,001,0017,3,3,1,0,0,0,71.819,44,17001,10,little_col,renter,True,1,0,0,71.819,1.0
11,001,002,0019,2,3,1,0,0,0,71.819,44,19001,11,embracing,renter,True,1,0,0,71.819,1.0
12,001,001,0021,4,1,1,0,0,1,55.207,44,21001,12,big_col,owner,True,2,0,1,55.207,1.5
13,001,002,0022,4,3,1,1,0,0,71.819,44,22001,13,big_col,renter,True,1,1,0,71.819,1.0
14,001,002,0024,3,3,1,1,0,0,55.207,44,24001,14,little_col,renter,True,2,1,0,55.207,1.5
15,001,002,0026,4,3,2,0,0,0,71.819,44,26001,15,big_col,renter,False,1,0,0,71.819,1.0
16,001,001,0027,3,3,2,0,0,0,71.819,44,27001,16,little_col,renter,False,1,0,0,71.819,1.0
17,001,001,0028,3,3,1,0,0,0,71.819,44,28001,17,little_col,renter,True,1,0,0,71.819,1.0
18,001,001,0029,4,1,1,0,0,0,71.819,44,29001,18,big_col,owner,True,1,0,0,71.819,1.0
19,001,001,0031,4,3,1,1,0,0,55.207,44,31001,19,big_col,renter,True,2,1,0,55.207,1.5
20,001,002,0034,3,3,1,0,0,0,71.819,44,34001,20,little_col,renter,True,1,0,0,71.819,1.0
21,001,001,0037,4,3,2,0,0,0,71.819,44,37001,21,big_col,renter,False,1,0,0,71.819,1.0
22,001,002,0039,4,3,2,0,0,0,71.819,44,39001,22,big_col,renter,False,1,0,0,71.819,1.0
23,001,002,0040,4,3,1,2,0,2,64.5923,44,40001,23,big_col,renter,True,5,2,2,64.5923,2.6
24,001,001,0041,4,1,1,1,0,0,55.207,44,41001,24,big_col,owner,True,2,1,0,55.207,1.5
25,001,001,0043,4,3,1,1,0,0,71.819,44,43001,25,big_col,renter,True,1,1,0,71.819,1.0
26,001,002,0044,4,3,1,0,0,0,71.819,44,44001,26,big_col,renter,True,1,0,0,71.819,1.0
27,001,001,0046,4,1,1,2,0,2,64.5923,44,46001,27,big_col,owner,True,7,2,2,64.5923,3.4
